title,genre
Haywire,Bad Ass Women
Peppermint,Bad Ass Women
Tomb Raider,Bad Ass Women
Black Panther,Bad Ass Women
Proud Mary,Bad Ass Women
Enough,Bad Ass Women
Kill Bill,Bad Ass Women
Aliens,Bad Ass Women
Mad Max: Fury Road,Bad Ass Women
The Fifth Element,Bad Ass Women
Million Dollar Baby,Bad Ass Women
Hidden Figures,Bad Ass Women
Tron Legacy,Man vs. Machine
The Matrix,Man vs. Machine
Terminator 3: Rise of the Machines,Man vs. Machine
"I, Robot",Man vs. Machine
The Matrix Revolutions,Man vs. Machine
Terminator Salvation,Man vs. Machine
Eagle Eye,Man vs. Machine
WarGames,Man vs. Machine
The Terminator,Man vs. Machine
Tron,Man vs. Machine
Stealth,Man vs. Machine
Ex Machina,Man vs. Machine
Gladiator,Getting Even
The Revenant,Getting Even
Quantum of Solace,Getting Even
Django Unchained,Getting Even
Taken,Getting Even
Taken 2,Getting Even
Inglourious Basterds,Getting Even
300: Rise of An Empire,Getting Even
The Italian Job,Getting Even
Mystic River,Getting Even
Taken 3,Getting Even
The Other Woman,Getting Even
Payback,Getting Even
Star Trek II: The Wrath of Khan,Getting Even
Man on Fire,Getting Even
Braveheart,Getting Even
Four Brothers,Getting Even
V for Vendetta,Getting Even
Once Upon a Time in Mexico,Getting Even
"Three Billboards Outside Ebbing, Missouri",Getting Even
The Count of Monte Cristo,Getting Even
Sweeney Todd: The Demon Barber of Fleet Street,Getting Even
The Crow,Getting Even
Savages,Getting Even
Walking Tall,Getting Even
Need for Speed,Getting Even
Edge of Darkness,Getting Even
John Wick,Getting Even
Hanna,Getting Even
Marvel's The Avengers,Alien Invasion
Captain Marvel,Alien Invasion
Transformers,Alien Invasion
Independence Day,Alien Invasion
Man of Steel,Alien Invasion
Men in Black,Alien Invasion
War of the Worlds,Alien Invasion
Signs,Alien Invasion
Monsters Vs. Aliens,Alien Invasion
Men in Black II,Alien Invasion
A Quiet Place,Alien Invasion
MIB 3,Alien Invasion
Home (2015),Alien Invasion
Chicken Little,Alien Invasion
Transformers: The Last Knight,Alien Invasion
District 9,Alien Invasion
Independence Day: Resurgence,Alien Invasion
Pacific Rim,Alien Invasion
Arrival,Alien Invasion
Cowboys & Aliens,Alien Invasion
Edge of Tomorrow,Alien Invasion
Battle: Los Angeles,Alien Invasion
The Day the Earth Stood Still (2008),Alien Invasion
Pixels,Alien Invasion
Battleship,Alien Invasion
Ender's Game,Alien Invasion
Escape From Planet Earth,Alien Invasion
I Am Number Four,Alien Invasion
The Faculty,Alien Invasion
Evolution,Alien Invasion
Mars Attacks!,Alien Invasion
The Watch,Alien Invasion
The 5th Wave,Alien Invasion
The Host,Alien Invasion
The World's End,Alien Invasion
Alien Nation,Alien Invasion
Battlefield Earth,Alien Invasion
The Darkest Hour,Alien Invasion
Skyline,Alien Invasion
Spaced Invaders,Alien Invasion
The Invasion,Alien Invasion
The Arrival,Alien Invasion
They Live,Alien Invasion
Impostor,Alien Invasion
Captive State,Alien Invasion
Attack the Block,Alien Invasion
Body Snatchers,Alien Invasion
Harry Potter and the Deathly Hallows Part 2,Dragon's In a Supporting Role
Shrek the Third,Dragon's In a Supporting Role
Harry Potter and the Sorcerer's Stone,Dragon's In a Supporting Role
The Hobbit: An Unexpected Journey,Dragon's In a Supporting Role
Harry Potter and the Goblet of Fire,Dragon's In a Supporting Role
Shrek,Dragon's In a Supporting Role
The Hobbit: The Battle of the Five Armies,Dragon's In a Supporting Role
Mulan,Dragon's In a Supporting Role
Willow,Dragon's In a Supporting Role
Quest for Camelot,Dragon's In a Supporting Role
The Pagemaster,Dragon's In a Supporting Role
Beauty and the Beast (2017),Cinderella Complex
My Big Fat Greek Wedding,Cinderella Complex
Cinderella (2015),Cinderella Complex
Pretty Woman,Cinderella Complex
The Devil Wears Prada,Cinderella Complex
The Princess Diaries,Cinderella Complex
Miss Congeniality,Cinderella Complex
The Princess Diaries 2: Royal Engagement,Cinderella Complex
Maid in Manhattan,Cinderella Complex
Ever After: A Cinderella Story,Cinderella Complex
She's All That,Cinderella Complex
13 Going on 30,Cinderella Complex
Sabrina,Cinderella Complex
A Cinderella Story,Cinderella Complex
Miss Congeniality 2: Armed and Fabulous,Cinderella Complex
The Lizzie McGuire Movie,Cinderella Complex
The Prince and Me,Cinderella Complex
Ice Princess,Cinderella Complex
Ella Enchanted,Cinderella Complex
Dirty Love,Cinderella Complex
Toy Story 2,Toys That Come to Life
Toy Story,Toys That Come to Life
Small Soldiers,Toys That Come to Life
The Indian in the Cupboard,Toys That Come to Life
Child's Play,Toys That Come to Life
Bride of Chucky,Toys That Come to Life
Mr. Magorium's Wonder Emporium,Toys That Come to Life
Child's Play 2,Toys That Come to Life
Seed of Chucky,Toys That Come to Life
The Adventures of Pinocchio,Toys That Come to Life
Child's Play 3,Toys That Come to Life
Pinocchio,Toys That Come to Life
Toys in the Attic,Toys That Come to Life
The Hunger Games,YA All Day
Harry Potter and the Deathly Hallows Part 2,YA All Day
The Hunger Games: Mockingjay - Part 1,YA All Day
Harry Potter and the Sorcerer's Stone,YA All Day
Harry Potter and the Half-Blood Prince,YA All Day
The Twilight Saga: Eclipse,YA All Day
The Twilight Saga: New Moon,YA All Day
Harry Potter and the Deathly Hallows Part 1,YA All Day
The Twilight Saga: Breaking Dawn Part 2,YA All Day
Harry Potter and the Order of the Phoenix,YA All Day
Harry Potter and the Goblet of Fire,YA All Day
The Hunger Games: Mockingjay - Part 2,YA All Day
The Twilight Saga: Breaking Dawn Part 1,YA All Day
Harry Potter and the Chamber of Secrets,YA All Day
Harry Potter and the Prisoner of Azkaban,YA All Day
Twilight,YA All Day
Divergent,YA All Day
Ready Player One,YA All Day
The Divergent Series: Insurgent,YA All Day
The Fault in our Stars,YA All Day
Lemony Snicket's A Series of Unfortunate Events,YA All Day
The Princess Diaries,YA All Day
The Maze Runner,YA All Day
The Princess Diaries 2: Royal Engagement,YA All Day
Percy Jackson & The Olympians: The Lightning Thief,YA All Day
Miss Peregrine's Home for Peculiar Children,YA All Day
Bridge to Terabithia,YA All Day
Maze Runner: The Scorch Trials,YA All Day
Goosebumps,YA All Day
Eragon,YA All Day
Hugo,YA All Day
The Spiderwick Chronicles,YA All Day
Percy Jackson: Sea of Monsters,YA All Day
The House With A Clock In Its Walls,YA All Day
The Divergent Series: Allegiant,YA All Day
Ender's Game,YA All Day
Maze Runner: The Death Cure,YA All Day
I Am Number Four,YA All Day
If I Stay,YA All Day
Five Feet Apart,YA All Day
The Giver,YA All Day
The Sisterhood of the Traveling Pants 2,YA All Day
"Love, Simon",YA All Day
The Sisterhood of the Traveling Pants,YA All Day
The Indian in the Cupboard,YA All Day
The 5th Wave,YA All Day
"Everything, Everything",YA All Day
Paper Towns,YA All Day
The Mortal Instruments: City of Bones,YA All Day
The Princess Bride,YA All Day
The Hate U Give,YA All Day
The Host (2013),YA All Day
The Outsiders,YA All Day
The Circle (2017),YA All Day
Beautiful Creatures (2013),YA All Day
Tuck Everlasting,YA All Day
The Perks of Being a Wallflower,YA All Day
Inkheart,YA All Day
Mortal Engines,YA All Day
The Lord of the Flies,YA All Day
Cirque du Freak: The Vampire's Assistant,YA All Day
The Darkest Minds,YA All Day
Before I Fall,YA All Day
After (2019),YA All Day
Midnight Sun,YA All Day
The Seeker: The Dark Is Rising,YA All Day
Something Wicked This Way Comes,YA All Day
Vampire Academy,YA All Day
The Spectacular Now,YA All Day
Me and Earl and the Dying Girl,YA All Day
It's Kind of a Funny Story,YA All Day
The Sun Is Also a Star,YA All Day
A Monster Calls,YA All Day
Blood and Chocolate,YA All Day
Harry Potter IMAX Marathon,YA All Day
A Cry in the Wild,YA All Day
Wonderstruck,YA All Day
The Miseducation of Cameron Post,YA All Day
Tiger Eyes,YA All Day
The Little Princess,YA All Day
Julie & Julia,Chef it Up
Chocolat,Chef it Up
The Hundred-Foot Journey,Chef it Up
No Reservations,Chef it Up
Chef,Chef it Up
Like Water for Chocolate,Chef it Up
Burnt,Chef it Up
Big Night,Chef it Up
Eat Drink Man Woman,Chef it Up
Woman on Top,Chef it Up
Tortilla Soup,Chef it Up
Simply Irresistible,Chef it Up
Jiro Dreams of Sushi,Chef it Up
Le Chef,Chef it Up
Today's Special,Chef it Up
Soul Kitchen,Chef it Up
Haute Cuisine,Chef it Up
How to Cook Your Life,Chef it Up
Tasting Menu,Chef it Up
"Now, Forager",Chef it Up
Skyfall,Professional Social Media Stalkers
The Bourne Ultimatum,Professional Social Media Stalkers
Mission: Impossible - Fallout,Professional Social Media Stalkers
Mission: Impossible II,Professional Social Media Stalkers
Austin Powers in Goldmember,Professional Social Media Stalkers
Mission: Impossible - Ghost Protocol,Professional Social Media Stalkers
Austin Powers: The Spy Who Shagged Me,Professional Social Media Stalkers
Spectre,Professional Social Media Stalkers
Mission: Impossible - Rogue Nation,Professional Social Media Stalkers
Cars 2,Professional Social Media Stalkers
Mission: Impossible,Professional Social Media Stalkers
The Bourne Supremacy,Professional Social Media Stalkers
Quantum of Solace,Professional Social Media Stalkers
Casino Royale,Professional Social Media Stalkers
Die Another Day,Professional Social Media Stalkers
True Lies,Professional Social Media Stalkers
XXX,Professional Social Media Stalkers
Argo,Professional Social Media Stalkers
Mission: Impossible III,Professional Social Media Stalkers
Get Smart,Professional Social Media Stalkers
Kingsman: The Secret Service,Professional Social Media Stalkers
Central Intelligence,Professional Social Media Stalkers
The World Is Not Enough,Professional Social Media Stalkers
Charlie's Angels,Professional Social Media Stalkers
Tomorrow Never Dies,Professional Social Media Stalkers
Clear and Present Danger,Professional Social Media Stalkers
The Hunt for Red October,Professional Social Media Stalkers
The Bourne Identity,Professional Social Media Stalkers
The Sum of All Fears,Professional Social Media Stalkers
Salt,Professional Social Media Stalkers
The Bourne Legacy,Professional Social Media Stalkers
Spy Kids,Professional Social Media Stalkers
Spy,Professional Social Media Stalkers
GoldenEye,Professional Social Media Stalkers
Cats & Dogs,Professional Social Media Stalkers
Spy Kids 2: The Island of Lost Dreams,Professional Social Media Stalkers
Patriot Games,Professional Social Media Stalkers
Penguins of Madagascar,Professional Social Media Stalkers
Bridge of Spies,Professional Social Media Stalkers
Octopussy,Professional Social Media Stalkers
Spy Game,Professional Social Media Stalkers
The Saint,Professional Social Media Stalkers
Spies Like Us,Professional Social Media Stalkers
The Good Shepherd,Professional Social Media Stalkers
Never Say Never Again,Professional Social Media Stalkers
For Your Eyes Only,Professional Social Media Stalkers
This Means War,Professional Social Media Stalkers
Austin Powers: International Man of Mystery,Professional Social Media Stalkers
The Recruit,Professional Social Media Stalkers
Atomic Blonde,Professional Social Media Stalkers
Sneakers,Professional Social Media Stalkers
The Living Daylights,Professional Social Media Stalkers
Jack Ryan: Shadow Recruit,Professional Social Media Stalkers
The Tuxedo,Professional Social Media Stalkers
A View to a Kill,Professional Social Media Stalkers
Agent Cody Banks,Professional Social Media Stalkers
Killers,Professional Social Media Stalkers
Red Sparrow,Professional Social Media Stalkers
Firefox,Professional Social Media Stalkers
The Man From U.N.C.L.E.,Professional Social Media Stalkers
Ronin,Professional Social Media Stalkers
Duplicity,Professional Social Media Stalkers
Undercover Brother,Professional Social Media Stalkers
Spy Kids: All the Time in the World,Professional Social Media Stalkers
No Way Out,Professional Social Media Stalkers
Licence to Kill,Professional Social Media Stalkers
The Spy Who Dumped Me,Professional Social Media Stalkers
I Spy,Professional Social Media Stalkers
The Long Kiss Goodnight,Professional Social Media Stalkers
Breach,Professional Social Media Stalkers
The Debt,Professional Social Media Stalkers
The Art of War,Professional Social Media Stalkers
Bad Company,Professional Social Media Stalkers
Point of No Return,Professional Social Media Stalkers
Jumpin' Jack Flash,Professional Social Media Stalkers
Abduction,Professional Social Media Stalkers
Spy Hard,Professional Social Media Stalkers
Harriet the Spy,Professional Social Media Stalkers
The Spy Next Door,Professional Social Media Stalkers
"Tinker, Tailor, Soldier, Spy",Professional Social Media Stalkers
The Avengers (1998),Professional Social Media Stalkers
The Russia House,Professional Social Media Stalkers
Top Secret!,Professional Social Media Stalkers
Best Defense,Professional Social Media Stalkers
Haywire,Professional Social Media Stalkers
Eye of the Needle,Professional Social Media Stalkers
The Falcon and the Snowman,Professional Social Media Stalkers
Gorky Park,Professional Social Media Stalkers
Keeping Up with the Joneses,Professional Social Media Stalkers
Ballistic: Ecks vs. Sever,Professional Social Media Stalkers
The Tailor of Panama,Professional Social Media Stalkers
The Man Who Knew Too Little,Professional Social Media Stalkers
The Fourth Protocol,Professional Social Media Stalkers
Undercover Blues,Professional Social Media Stalkers
Gotcha!,Professional Social Media Stalkers
The Package,Professional Social Media Stalkers
Fair Game (2010),Professional Social Media Stalkers
Target,Professional Social Media Stalkers
The Man with One Red Shoe,Professional Social Media Stalkers